displayName,name,notebook,spec,recipe,dataTable,sample,additionalDataTables,description
C# dependency usage,io.moderne.DependencyUsageViolinNuget,moderne_visualizations_misc/dependency_usage_violin_nuget.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin_nuget.yml,org.openrewrite.csharp.dependencies.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
Call graph data grid,io.moderne.CallGraphDataGrid,moderne_visualizations_misc/call_graph_data_grid.ipynb,moderne_visualizations_misc/specs/call_graph_data_grid.yml,org.openrewrite.FindCallGraph,org.openrewrite.table.CallGraph,samples/v2/org.openrewrite.table.CallGraph.csv,,This data grid shows relationships for method calls.
Call graph UML,io.moderne.FindCallGraph,moderne_visualizations_misc/call_graph_uml.ipynb,moderne_visualizations_misc/specs/call_graph_uml.yml,org.openrewrite.FindCallGraph,org.openrewrite.table.CallGraph,samples/v2/org.openrewrite.table.CallGraph.csv,,This diagram shows relationships for method calls in UML.
Class coupling vs cohesion risk matrix,io.moderne.CouplingCohesionQuadrant,moderne_visualizations_misc/coupling_cohesion_quadrant.ipynb,moderne_visualizations_misc/specs/coupling_cohesion_quadrant.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,,"Scatter plot with four quadrants classifying classes by coupling and cohesion. Quadrants: Spaghetti (high coupling, low cohesion), Hub (high coupling, high cohesion), Island (low coupling, low cohesion), Healthy (low coupling, high cohesion). Helps identify classes most in need of refactoring."
COBOL relationships data grid,io.moderne.FindCobolRelationshipsDataGrid,moderne_visualizations_misc/cobol_relationships_data_grid.ipynb,moderne_visualizations_misc/specs/cobol_relationships_data_grid.yml,org.openrewrite.cobol.search.FindRelationships,org.openrewrite.cobol.table.CobolRelationships,samples/cobol_relationships.csv,,"Reports the relationships between different COBOL resources. Includes COBOL sources, Copybooks, Link-edit cards, DB2 access, and others."
Code quality executive dashboard,io.moderne.CodeQualityExecutiveDashboard,moderne_visualizations_misc/code_quality_executive_dashboard.ipynb,moderne_visualizations_misc/specs/code_quality_executive_dashboard.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,data_file_methods=io.moderne.prethink.table.MethodQualityMetrics; data_file_packages=io.moderne.prethink.table.PackageQualityMetrics; data_file_smells=io.moderne.prethink.table.CodeSmells; data_file_gaps=io.moderne.prethink.table.TestGaps,"Single-page executive summary combining all quality data tables. Shows portfolio health score, top riskiest repositories, smell severity breakdown, test gap coverage, and worst dependency cycles. Designed for engineering leadership to assess overall codebase health at a glance."
Code quality metrics data grid,io.moderne.CodeQualityDataGrid,moderne_visualizations_misc/code_quality_data_grid.ipynb,moderne_visualizations_misc/specs/code_quality_data_grid.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.MethodQualityMetrics,samples/v2/io.moderne.prethink.table.MethodQualityMetrics.csv,,"Interactive sortable data grid showing all quality metrics with hierarchical drill-down from repository to package to class to method. Supports filtering, sorting, and searching across all metric columns. Useful for detailed exploration of quality data beyond what chart visualizations provide."
Code smell distribution by repository,io.moderne.CodeSmellSeverityStackedBar,moderne_visualizations_misc/code_smell_severity_stacked_bar.ipynb,moderne_visualizations_misc/specs/code_smell_severity_stacked_bar.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.CodeSmells,samples/v2/io.moderne.prethink.table.CodeSmells.csv,,"Horizontal stacked bar chart showing code smell counts per repository, segmented by severity (critical, high, medium, low). Reveals which repositories carry the most design problems and how severe they are."
Comment language distribution,io.moderne.CommentLanguageDistribution,moderne_visualizations_misc/comment_language_distribution.ipynb,moderne_visualizations_misc/specs/comment_language_distribution.yml,io.moderne.ai.FindCommentsLanguage,io.moderne.ai.table.LanguageDistribution,samples/comments_language.csv,,Show pie graph of the distribution of the language of comments.
Complexity vs test coverage risk,io.moderne.ComplexityVsTestGapsBubble,moderne_visualizations_misc/complexity_vs_test_gaps_bubble.ipynb,moderne_visualizations_misc/specs/complexity_vs_test_gaps_bubble.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,data_file_gaps=io.moderne.prethink.table.TestGaps,"Bubble chart joining class complexity with test gaps. X-axis shows weighted methods per class (WMC), Y-axis shows untested method count, and bubble size represents a composite risk score. Classes in the upper-right are high-complexity with poor test coverage, representing the highest risk."
Composite recipe results,io.moderne.CompositeRecipeResultsSankey,moderne_visualizations_misc/composite_recipe_results_sankey.ipynb,moderne_visualizations_misc/specs/composite_recipe_results_sankey.yml,*,org.openrewrite.table.SourcesFileResults,samples/composite_recipe_results_sankey.csv,,"The number of source files affected by each recipe. Recipes can be composed in hierarchical forms. The representation below is a Sankey diagram. \ Reading left to right, the diagram shows the number of source files that cumulatively are changed by all recipes that are connected by successive doNext() chaining. The rightmost recipes are the ""leaves"" of this operation, i.e. the lowest level operations performed by a composite recipe. \ **The Sankey diagram will be uninteresting for a recipe that isn't a composite.**"
Cyclomatic complexity heatmap,io.moderne.CyclomaticComplexityHeatmap,moderne_visualizations_misc/cyclomatic_complexity_heatmap.ipynb,moderne_visualizations_misc/specs/cyclomatic_complexity_heatmap.yml,org.openrewrite.analysis.java.controlflow.search.FindCyclomaticComplexity,org.openrewrite.analysis.java.controlflow.table.ComplexityTable,samples/cyclomatic_complexity.csv,,"Displays a heatmap visualization of cyclomatic complexity at the class level across repositories. Each row represents a class, and columns show different complexity metrics (method count, average complexity, max complexity, and total complexity). Color intensity represents normalized complexity values, helping identify the most problematic classes across multiple dimensions."
Cyclomatic complexity risk matrix,io.moderne.CyclomaticComplexityRiskMatrix,moderne_visualizations_misc/cyclomatic_complexity_risk_matrix.ipynb,moderne_visualizations_misc/specs/cyclomatic_complexity_risk_matrix.yml,org.openrewrite.analysis.java.controlflow.search.FindCyclomaticComplexity,org.openrewrite.analysis.java.controlflow.table.ComplexityTable,samples/cyclomatic_complexity.csv,,Visualizes cyclomatic complexity as a risk matrix to help engineering leaders identify and prioritize areas for refactoring. The scatter plot shows repositories positioned by their number of high-complexity methods (x-axis) and average complexity (y-axis). Bubble size represents the number of classes in each repository. The plot is divided into four quadrants to categorize risk levels.
Dependency tree view,io.moderne.DependencyTreeView,moderne_visualizations_misc/dependency_tree_view.ipynb,moderne_visualizations_misc/specs/dependency_tree_view.yml,org.openrewrite.java.dependencies.DependencyList,org.openrewrite.java.dependencies.table.DependencyListReport,samples/v2/org.openrewrite.java.dependencies.table.DependencyListReport.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventory,moderne_visualizations_misc/dependency_tree_view_nodejs.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs.yml,org.openrewrite.nodejs.search.DependencyInsight,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryBuildTools,moderne_visualizations_misc/dependency_tree_view_nodejs_build_tools.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_build_tools.yml,org.openrewrite.nodejs.search.TaskRunnersBuildToolsInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryDatabaseInteraction,moderne_visualizations_misc/dependency_tree_view_nodejs_db.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_db.yml,org.openrewrite.nodejs.search.DatabaseInteractionInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryFormHandling,moderne_visualizations_misc/dependency_tree_view_nodejs_forms.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_forms.yml,org.openrewrite.nodejs.search.FormHandlingInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryLintingFormatting,moderne_visualizations_misc/dependency_tree_view_nodejs_lint.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_lint.yml,org.openrewrite.nodejs.search.LintingFormattingInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryRealTimeCommunication,moderne_visualizations_misc/dependency_tree_view_nodejs_rtc.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_rtc.yml,org.openrewrite.nodejs.search.RealTimeCommunicationInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventorySecurity,moderne_visualizations_misc/dependency_tree_view_nodejs_security.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_security.yml,org.openrewrite.nodejs.search.SecurityInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryServerSideFrameworks,moderne_visualizations_misc/dependency_tree_view_nodejs_ss.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_ss.yml,org.openrewrite.nodejs.search.ServerSideFrameworksInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryStateManagement,moderne_visualizations_misc/dependency_tree_view_nodejs_state.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_state.yml,org.openrewrite.nodejs.search.StateManagementInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryTesting,moderne_visualizations_misc/dependency_tree_view_nodejs_testing.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_testing.yml,org.openrewrite.nodejs.search.TestingInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryUI,moderne_visualizations_misc/dependency_tree_view_nodejs_ui.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_ui.yml,org.openrewrite.nodejs.search.UIInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency tree view,io.moderne.JavascriptDependencyInventoryUtility,moderne_visualizations_misc/dependency_tree_view_nodejs_utility.ipynb,moderne_visualizations_misc/specs/dependency_tree_view_nodejs_utility.yml,org.openrewrite.nodejs.search.UtilityInsights,org.openrewrite.nodejs.table.DependenciesInUse,samples/v2/org.openrewrite.nodejs.table.DependenciesInUse.csv,,Render a tree data grid to explore dependencies.
Dependency usage,io.moderne.DependencyUsageViolin,moderne_visualizations_misc/dependency_usage_violin.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin.yml,org.openrewrite.java.dependencies.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
Dependency usage,io.moderne.DependencyUsageViolinGradle,moderne_visualizations_misc/dependency_usage_violin_gradle.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin_gradle.yml,org.openrewrite.gradle.search.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
Dependency usage,io.moderne.DependencyUsageViolinMaven,moderne_visualizations_misc/dependency_usage_violin_maven.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin_maven.yml,org.openrewrite.maven.search.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
Dependency vulnerability profile,io.moderne.DependencyVulnerabilities,moderne_visualizations_misc/dependency_vulnerabilities.ipynb,moderne_visualizations_misc/specs/dependency_vulnerabilities.yml,org.openrewrite.java.dependencies.DependencyVulnerabilityCheck,org.openrewrite.java.dependencies.table.VulnerabilityReport,samples/dependency_vulnerabilities.csv,,Reports the known vulnerabilities and the related dependencies. Here you can see the type of version increases that would be required to fix current vulnerabilities as well as the associated severity distributions. For more information see: - **[Dependency updates unmasked](https://www.moderne.io/blog/security-dependency-updates-unmasked)**
Dependency vulnerability profile,io.moderne.DependencyVulnerabilitiesNpm,moderne_visualizations_misc/dependency_vulnerabilities_npm.ipynb,moderne_visualizations_misc/specs/dependency_vulnerabilities_npm.yml,org.openrewrite.nodejs.DependencyVulnerabilityCheck,org.openrewrite.nodejs.table.VulnerabilityReport,samples/dependency_vulnerabilities_npm.csv,,Reports the known vulnerabilities and the related dependencies. Here you can see the type of version increases that would be required to fix current vulnerabilities as well as the associated severity distributions. For more information see: - **[Dependency updates unmasked](https://www.moderne.io/blog/security-dependency-updates-unmasked)**
Dependency vulnerability profile,io.moderne.DependencyVulnerabilitiesNuget,moderne_visualizations_misc/dependency_vulnerabilities_nuget.ipynb,moderne_visualizations_misc/specs/dependency_vulnerabilities_nuget.yml,org.openrewrite.csharp.dependencies.DependencyVulnerabilityCheck,org.openrewrite.csharp.dependencies.table.VulnerabilityReport,samples/dependency_vulnerabilities_npm.csv,,Reports the known vulnerabilities and the related dependencies. Here you can see the type of version increases that would be required to fix current vulnerabilities as well as the associated severity distributions. For more information see: - **[Dependency updates unmasked](https://www.moderne.io/blog/security-dependency-updates-unmasked)**
Effective maven settings,io.moderne.EffectiveMavenSettings,moderne_visualizations_misc/effective_maven_settings.ipynb,moderne_visualizations_misc/specs/effective_maven_settings.yml,org.openrewrite.maven.search.FindMavenSettings,org.openrewrite.maven.table.EffectiveMavenSettings,samples/v2/org.openrewrite.maven.table.EffectiveMavenSettings.csv,,This data grid contains the maven settings file used by each pom.
End of life exposure executive dashboard,io.moderne.EndOfLifeExecutiveDashboard,moderne_visualizations_misc/end_of_life_executive_dashboard.ipynb,moderne_visualizations_misc/specs/end_of_life_executive_dashboard.yml,org.openrewrite.dependencies.endoflife.FindEndOfLifeDependenciesDefault,org.openrewrite.java.dependencies.endoflife.table.EndOfLifeDependencyReport,samples/v2/org.openrewrite.java.dependencies.endoflife.table.EndOfLifeDependencyReport.csv,data_file_node=org.openrewrite.node.dependencies.table.EndOfLifeDependencyReport; data_file_csharp=org.openrewrite.csharp.dependencies.table.EndOfLifeDependencyReport,"Single-page executive summary of end-of-life (EOL) dependency exposure across the portfolio. Combines the language-specific EOL dependency reports (Java, Node.js, and C#) into one view: how many repositories rely on end-of-life components, which repositories are most exposed, how the exposure is distributed across technologies, and which EOL products are most widespread. Designed for leadership to gauge supportability risk at a glance."
ESLint problems,io.moderne.ESLintProblems,moderne_visualizations_misc/eslint_problems.ipynb,moderne_visualizations_misc/specs/eslint_problems.yml,org.openrewrite.codemods.ESLint,org.openrewrite.codemods.ESLintMessages,samples/eslint_problems.csv,,This report shows the reported ESLint problems across projects.
ESLint problems by repository,io.moderne.ESLintProblemsByRepo,moderne_visualizations_misc/eslint_problems_by_repo.ipynb,moderne_visualizations_misc/specs/eslint_problems_by_repo.yml,org.openrewrite.codemods.ESLint,org.openrewrite.codemods.ESLintMessages,samples/eslint_problems.csv,,This report shows the reported ESLint problems in each repository.
Find COBOL copybook relationships,io.moderne.FindCobolCopybook,moderne_visualizations_misc/cobol_find_copybook.ipynb,moderne_visualizations_misc/specs/cobol_find_copybook.yml,org.openrewrite.cobol.search.FindCopybook,org.openrewrite.cobol.table.CopybookSource,samples/cobol_find_copybook.csv,,This diagram shows which COBOL copybooks are used by which COBOL sources with a directed graph visualization. Missing copybooks are highlighted in red.
Find COBOL relationships,io.moderne.FindCobolRelationships,moderne_visualizations_misc/cobol_relationships.ipynb,moderne_visualizations_misc/specs/cobol_relationships.yml,org.openrewrite.cobol.search.FindRelationships,org.openrewrite.cobol.table.CobolRelationships,samples/cobol_relationships.csv,,This diagram shows relationships between different COBOL resources.
Find uses of method in code,io.moderne.FindMethods,moderne_visualizations_misc/find_methods.ipynb,moderne_visualizations_misc/specs/find_methods.yml,org.openrewrite.java.search.FindMethods,org.openrewrite.java.table.MethodCalls,samples/find_methods.csv,,This report shows the uses of a method across projects.
Find uses of method in code using AI,io.moderne.FindMethodsAI,moderne_visualizations_misc/find_methods_ai.ipynb,moderne_visualizations_misc/specs/find_methods_ai.yml,io.moderne.ai.research.FindCodeThatResembles,io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,,This report shows the method patterns that could be relevant based on the provided query. You can use org.openrewrite.java.search.FindMethods next with any of the following method patterns.
Generated pre-filled YAML recipe,io.moderne.FindMethodsAIYAML,moderne_visualizations_misc/find_methods_ai_generate_yaml.ipynb,moderne_visualizations_misc/specs/find_methods_ai_generate_yaml.yml,io.moderne.ai.research.FindCodeThatResembles,io.moderne.ai.table.SuggestedMethodPatterns,samples/find_methods_ai.csv,,"By following this recipe, you can utilize method patterns relevant to the provided query. Simply import the YAML recipe with the specified method patterns and use a series of org.openrewrite.java.search.FindMethods."
GitHub secrets in use,io.moderne.GitHubSecretsInUse,moderne_visualizations_misc/github_secrets_in_use.ipynb,moderne_visualizations_misc/specs/github_secrets_in_use.yml,org.openrewrite.github.FindGitHubActionSecretReferences,org.openrewrite.table.TextMatches,samples/v2/org.openrewrite.table.TextMatches.csv,,Unique list of GitHub action secrets used in workflows. Expand the secret row to see a list of repositories using that secret.
Gradle wrapper composition,io.moderne.GradleWrappers,moderne_visualizations_misc/gradle_wrappers.ipynb,moderne_visualizations_misc/specs/gradle_wrappers.yml,org.openrewrite.gradle.search.FindGradleWrapper,org.openrewrite.gradle.table.GradleWrappersInUse,samples/v2/org.openrewrite.gradle.table.GradleWrappersInUse.csv,,Reports the distribution of Gradle wrapper versions in use.
Jackson usage,io.moderne.DependencyUsageViolinJackson,moderne_visualizations_misc/dependency_usage_violin_jackson.ipynb,moderne_visualizations_misc/specs/dependency_usage_violin_jackson.yml,org.openrewrite.java.dependencies.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependency_usage_violin.csv,,See the distribution of dependencies by version.
